yyyymm,severity,kind,marca,canal,metric,value,threshold,detail
202602,INFO,CARROCERO_UNMAPPED,EUROCARROCERA,,registros_carrocero_sin_chasis_detectado,73,25,ampliar _CHASSIS_RULES o CARROCERO_BRANDS
202602,INFO,KM0_FALLBACK,FORD,Corporate,b00d_private_moved_to_corporate,103,100,pool_b00d_private=1099; rate=0.0939
202602,INFO,KM0_FALLBACK,RENAULT,Corporate,b00d_private_moved_to_corporate,167,100,pool_b00d_private=2916; rate=0.0573
202602,CRITICAL,CHANNEL_DRIFT,AUDI,RAC,count_vs_same_month_history,563,+/-250 and +/-25%,"actual=1371; media_mismo_mes=808.0; historico=857,694,873; rel=+69.7%"
202602,CRITICAL,CHANNEL_DRIFT,BMW,RAC,count_vs_same_month_history,741,+/-250 and +/-25%,"actual=1143; media_mismo_mes=401.7; historico=410,28,767; rel=+184.6%"
202602,CRITICAL,CHANNEL_DRIFT,BYD,Corporate,count_vs_same_month_history,632,+/-250 and +/-25%,"actual=732; media_mismo_mes=100.5; historico=179,22; rel=+628.4%"
202602,CRITICAL,CHANNEL_DRIFT,BYD,Private,count_vs_same_month_history,1000,+/-250 and +/-25%,"actual=1489; media_mismo_mes=489.0; historico=814,164; rel=+204.5%"
202602,WARN,CHANNEL_DRIFT,CITROEN,RAC,count_vs_same_month_history,417,+/-250 and +/-25%,"actual=1700; media_mismo_mes=1282.7; historico=792,842,2214; rel=+32.5%"
202602,CRITICAL,CHANNEL_DRIFT,CUPRA,RAC,count_vs_same_month_history,706,+/-250 and +/-25%,"actual=794; media_mismo_mes=88.3; historico=165,7,93; rel=+798.9%"
202602,CRITICAL,CHANNEL_DRIFT,DACIA,RAC,count_vs_same_month_history,541,+/-250 and +/-25%,"actual=935; media_mismo_mes=393.7; historico=758,108,315; rel=+137.5%"
202602,CRITICAL,CHANNEL_DRIFT,FIAT,Corporate,count_vs_same_month_history,-823,+/-250 and +/-25%,"actual=610; media_mismo_mes=1432.7; historico=541,2153,1604; rel=-57.4%"
202602,WARN,CHANNEL_DRIFT,FORD,Private,count_vs_same_month_history,-393,+/-250 and +/-25%,"actual=1099; media_mismo_mes=1492.3; historico=1807,1368,1302; rel=-26.4%"
202602,WARN,CHANNEL_DRIFT,HYUNDAI,Private,count_vs_same_month_history,-710,+/-250 and +/-25%,"actual=2122; media_mismo_mes=2832.3; historico=2419,3165,2913; rel=-25.1%"
202602,CRITICAL,CHANNEL_DRIFT,HYUNDAI,RAC,count_vs_same_month_history,-556,+/-250 and +/-25%,"actual=34; media_mismo_mes=590.3; historico=973,94,704; rel=-94.2%"
202602,WARN,CHANNEL_DRIFT,KIA,RAC,count_vs_same_month_history,285,+/-250 and +/-25%,"actual=859; media_mismo_mes=574.0; historico=1191,420,111; rel=+49.7%"
202602,CRITICAL,CHANNEL_DRIFT,MERCEDES,RAC,count_vs_same_month_history,1371,+/-250 and +/-25%,"actual=2001; media_mismo_mes=630.0; historico=682,364,844; rel=+217.6%"
202602,CRITICAL,CHANNEL_DRIFT,MG,RAC,count_vs_same_month_history,879,+/-250 and +/-25%,"actual=1476; media_mismo_mes=597.3; historico=1684,54,54; rel=+147.1%"
202602,CRITICAL,CHANNEL_DRIFT,NISSAN,RAC,count_vs_same_month_history,540,+/-250 and +/-25%,"actual=952; media_mismo_mes=412.3; historico=107,322,808; rel=+130.9%"
202602,CRITICAL,CHANNEL_DRIFT,OMODA,Private,count_vs_same_month_history,1420,+/-250 and +/-25%,"actual=1771; media_mismo_mes=350.5; historico=648,53; rel=+405.3%"
202602,WARN,CHANNEL_DRIFT,PEUGEOT,Private,count_vs_same_month_history,-491,+/-250 and +/-25%,"actual=1211; media_mismo_mes=1702.3; historico=1607,1853,1647; rel=-28.9%"
202602,WARN,CHANNEL_DRIFT,PEUGEOT,RAC,count_vs_same_month_history,796,+/-250 and +/-25%,"actual=2684; media_mismo_mes=1888.3; historico=1876,1093,2696; rel=+42.1%"
202602,WARN,CHANNEL_DRIFT,RENAULT,Private,count_vs_same_month_history,671,+/-250 and +/-25%,"actual=2901; media_mismo_mes=2229.7; historico=2546,2104,2039; rel=+30.1%"
202602,CRITICAL,CHANNEL_DRIFT,SKODA,RAC,count_vs_same_month_history,637,+/-250 and +/-25%,"actual=1527; media_mismo_mes=890.0; historico=1039,332,1299; rel=+71.6%"
202602,CRITICAL,CHANNEL_DRIFT,TESLA,Private,count_vs_same_month_history,611,+/-250 and +/-25%,"actual=1260; media_mismo_mes=649.3; historico=688,492,768; rel=+94.0%"
202602,WARN,CHANNEL_DRIFT,TOYOTA,Private,count_vs_same_month_history,1188,+/-250 and +/-25%,"actual=5738; media_mismo_mes=4550.0; historico=5489,3771,4390; rel=+26.1%"
202602,CRITICAL,CHANNEL_DRIFT,TOYOTA,RAC,count_vs_same_month_history,582,+/-250 and +/-25%,"actual=927; media_mismo_mes=345.0; historico=660,195,180; rel=+168.7%"
202602,WARN,CHANNEL_DRIFT,VOLKSWAGEN,Private,count_vs_same_month_history,713,+/-250 and +/-25%,"actual=2719; media_mismo_mes=2006.3; historico=2625,1607,1787; rel=+35.5%"
202602,WARN,CHANNEL_DRIFT,VOLKSWAGEN,RAC,count_vs_same_month_history,327,+/-250 and +/-25%,"actual=1530; media_mismo_mes=1203.3; historico=1092,681,1837; rel=+27.1%"
